,site,lon,lat,vel_E,vel_N,vel_U
0,TMAM,121.00748222,22.61608046,-1.6168005485455128,-1.0066984258887701,-5.350794440596003
1,GS01,121.50816668,24.9819982,30.220962935074173,-11.156276824658116,-1.2498501217864617
2,FUGN,121.19216635,22.79075348,-22.688513448618185,21.63816765773993,-5.19929752055732
3,VC03,121.54863569,25.22424958,30.799014850612096,-9.020089574584674,-6.807331618197192
4,PIMO,121.07772866,14.63572048,-26.98283733224149,2.1870242772333883,-3.5777095450025747
5,VC17,121.94116648,24.84268875,42.908224457494335,-17.113936443498613,-12.089960446679058
6,VC16,122.07962245,25.6281329,30.213048780948867,-9.530037836214781,-12.175375736640639
7,VC02,121.52194053,25.2674068,28.04903249796612,-8.411477643792088,-17.673885475466445
8,VC14,121.85211393,25.06250735,37.050664558037155,-11.143349492782333,0.3507212871317797
9,GS72,121.82941734,24.66443331,50.35526151072524,-29.1577231116185,-10.601214005570009
10,HOB2,147.43873636,42.80470671,32.66025899843516,-52.42202826433801,0.7778894252572773
11,WUKU,121.40066885,25.11727986,28.535705497069365,-9.601880545319007,-4.247252282986758
12,VC01,121.5917903,25.27192061,28.646496435700175,-10.728785379667356,-10.842198575531201
13,VC15,121.92500047,25.05532715,33.11264908364142,-7.938856278985075,-7.004898802681416
14,VC11,121.91979374,25.11218914,35.98397167520742,-11.448026340567003,-6.985591547329336
15,VC05,121.50939057,25.19519867,30.75745634229444,-8.718430668909276,-2.1914419349823575
16,VC04,121.63710204,25.22275629,35.9997897940777,-13.901785767058696,-7.572800808178205
17,VC10,121.58153004,25.06901804,31.76917804610064,-11.224048320521748,-0.2629803895218549
18,VC06,121.68938399,25.17579018,36.48367252618931,-10.850527405437608,-4.670179554465151
19,VC12,121.85643681,25.11230455,41.34948009779194,-14.463636056130602,-9.910377005144653
20,VC13,121.81444622,25.10768623,44.71209362861838,-1.349756092625407,-10.270321998905823
21,VC07,121.53990722,25.13615726,29.70090491933041,-9.538921079436747,-3.552618504489044
22,YILN,121.74565882,24.74607833,13.452275763412432,-48.51994335059323,-5.366486691800332
23,VC09,121.66539788,25.10754124,36.12889168815322,-9.721556510777747,-5.455221310985147
24,VC21,121.60803839,21.95248528,-39.662285478460205,31.651357233657773,-10.572817013805219
25,GUAM,144.86836014,13.58932977,-8.679221879927931,0.5164863222824873,-3.5553166900239725
26,CHGO,121.37453688,23.09833329,-24.611562825471665,26.385693837394438,-4.454264853702009
27,DAWU,120.89004859,22.3405978,-11.804025033485477,2.038981486827036,-8.822352962785073
28,VC20,121.56244025,22.01929815,-38.055232468722195,33.4691232179338,-14.906250224393196
29,VC08,121.59938566,25.11217164,38.12152366357376,-8.577305680983814,-13.71714000122833
30,VC18,121.78289435,25.19091344,34.06979552754593,-10.173015825886562,-5.740628130027464
31,KDNM,120.78202073,21.9494247,-13.649165490996868,-3.4949094998322217,7.2525412548524795
32,SHAO,121.20044839,31.09964112,31.706046364038624,-8.865458594358138,2.8868638381160605
33,VC19,121.47128324,22.67344892,-33.0785739118977,32.931969995739315,-7.689396345881185
34,SHMN,121.56215915,25.29146004,28.490225990016654,-7.949382808967131,-8.982905764052765
35,FLON,121.93748736,25.02037308,35.36953647573383,-16.103580600040054,2.0422479073695907
36,BANC,121.44211252,24.99765515,30.150311540850513,-9.815629552016922,-6.820070742159864
37,TSKB,140.08750757,36.10567825,23.213602605143326,-7.509816810949261,-4.946166361594402
38,GS09,121.65193393,25.20860418,32.550718444635585,-10.010573766131552,-2.294040207827742
39,YMSM,121.57406089,25.16571257,22.46126541899826,-7.40738115527627,-9.043747706449262
40,SANJ,121.50087728,25.26079775,31.91893787070154,-11.36626049264625,-8.94138268997519
41,TSHI,121.63276808,25.25691303,32.353375773841975,-11.147619668479159,-8.49819738943134
