,site,lon,lat,vel_E,vel_N,vel_U
0,TMAM,121.00748222,22.61608046,-39.738324212119466,7.570607255095011,8.36634556062969
1,GS01,121.50816668,24.9819982,-7.900560728489571,-2.5789711436753233,12.467289879439639
2,FUGN,121.19216635,22.79075348,-60.81003711220047,30.215473338724845,8.517842480674183
3,VC03,121.54863569,25.22424958,-7.322508812959685,-0.44278389360244086,6.909808383030574
4,PIMO,121.07772866,14.63572048,-65.10436099581246,10.764329958216322,10.139430456227332
5,VC17,121.94116648,24.84268875,4.786700793922815,-8.536630762515067,1.627179554549276
6,VC16,122.07962245,25.6281329,-7.908474882622051,-0.9527321552319657,1.5417642645886023
7,VC02,121.52194053,25.2674068,-10.072491165616325,0.16582803719404002,-3.9567454742357766
8,VC14,121.85211393,25.06250735,-1.0708591055301584,-2.5660438117987763,14.067861288360733
9,GS72,121.82941734,24.66443331,12.23373784715511,-20.58041743063654,3.1159259956556506
10,HOB2,147.43873636,42.80470671,-5.461264665138767,-43.84472258335408,14.495029426485665
11,WUKU,121.40066885,25.11727986,-9.585818166492954,-1.0245748643374613,9.469887718238784
12,VC01,121.5917903,25.27192061,-9.475027227873316,-2.1514796986846156,2.874941425695585
13,VC15,121.92500047,25.05532715,-5.008874579931346,0.6384494019987766,6.712241198547826
14,VC11,121.91979374,25.11218914,-2.1375519883665643,-2.8707206595832906,6.731548453900444
15,VC05,121.50939057,25.19519867,-7.364067321278564,-0.14112498792556072,11.52569806624457
16,VC04,121.63710204,25.22275629,-2.1217338694930077,-5.324480086075887,6.144339193050134
17,VC10,121.58153004,25.06901804,-6.352345617475235,-2.64674263953844,13.454159611704432
18,VC06,121.68938399,25.17579018,-1.6378511373869205,-2.2732217244540296,9.046960446763102
19,VC12,121.85643681,25.11230455,3.2279564342219818,-5.886330375147933,3.806762996084598
20,VC13,121.81444622,25.10768623,6.590569965044506,7.2275495883582215,3.4468180023216957
21,VC07,121.53990722,25.13615726,-8.420618744242388,-0.9616153984534093,10.164521496738313
22,YILN,121.74565882,24.74607833,-24.66924790015939,-39.94263766961079,8.35065330942845
23,VC09,121.66539788,25.10754124,-1.9926319754226853,-1.1442508297951552,8.261918690242675
24,VC21,121.60803839,21.95248528,-77.78380914203157,40.228662914640445,3.1443229874227563
25,GUAM,144.86836014,13.58932977,-46.80074554350033,9.093792003266042,10.161823311204438
26,CHGO,121.37453688,23.09833329,-62.733086489041206,34.96299951837769,9.262875147524312
27,DAWU,120.89004859,22.3405978,-49.925548697061465,10.616287167810114,4.894787038442259
28,VC20,121.56244025,22.01929815,-76.17675613229514,42.046428898916055,-1.1891102231635573
29,VC08,121.59938566,25.11217164,-4.989946393719413e-12,-1.132705749179649e-13,-1.1598906871599605e-12
30,VC18,121.78289435,25.19091344,-4.051728136025402,-1.595710144902541,7.976511871199531
31,KDNM,120.78202073,21.9494247,-51.77068915458108,5.082396181153598,20.969681256084645
32,SHAO,121.20044839,31.09964112,-6.41547729953527,-0.28815291337639864,16.604003839342532
33,VC19,121.47128324,22.67344892,-71.20009757546894,41.50927567672279,6.0277436553487584
34,SHMN,121.56215915,25.29146004,-9.631297673543616,0.6279228720143565,4.734234237173902
35,FLON,121.93748736,25.02037308,-2.7519871878418756,-7.526274919057249,15.75938790859883
36,BANC,121.44211252,24.99765515,-7.971212122725223,-1.2383238710322222,6.897069259070317
37,TSKB,140.08750757,36.10567825,-14.907921058420875,1.0674888700329523,8.770973639632174
38,GS09,121.65193393,25.20860418,-5.570805218938411,-1.4332680851479769,11.423099793400084
39,YMSM,121.57406089,25.16571257,-15.660258244574997,1.1699245257070534,4.673392294776898
40,SANJ,121.50087728,25.26079775,-6.2025857928704475,-2.788954811663026,4.775757311250783
41,TSHI,121.63276808,25.25691303,-5.76814788972652,-2.5703139874976584,5.218942611794397
