,date,lon,lat,vert,digit_date,E_mm,N_mm,U_mm
0,2016306,121.50087728,25.26079775,74.19800000000001,2016.8360655737704,5.040549673140049,19.829338882118464,26.00000000001046
1,2016307,121.50087727,25.26079775,74.207,2016.8387978142077,4.033266683109105,19.825580529868603,34.99999999999659
2,2016308,121.50087726,25.26079776,74.217,2016.8415300546449,3.021848853677511,20.929506979882717,45.000000000001705
3,2016309,121.50087729,25.26079776,74.204,2016.844262295082,6.043700268492103,20.94078017398715,31.999999999996476
4,2016310,121.50087728,25.26079773,74.217,2016.8469945355191,5.048814346082509,17.613970674574375,45.000000000001705
5,2016311,121.50087727,25.26079775,74.203,2016.8497267759562,4.033266683109105,19.825580529868603,31.00000000000591
6,2016312,121.50087724,25.26079774,74.205,2016.8524590163934,1.015547662973404,18.70662346482277,33.00000000000125
7,2016313,121.50087724,25.26079775,74.211,2016.8551912568305,1.0114153265021741,19.81430733576417,39.00000000000148
8,2016314,121.50087724,25.26079777,74.212,2016.8579234972678,1.0031505953520536,22.029675543308258,40.00000000000625
9,2016315,121.50087724,25.26079776,74.219,2016.860655737705,1.0072829318232834,20.92199120670557,46.999999999997044
10,2016316,121.50087723,25.26079776,74.21,2016.863387978142,0.0,20.918233785778284,37.9999999999967
11,2016317,121.50087729,25.26079774,74.212,2016.8661202185792,6.051964941434562,18.72541243210435,40.00000000000625
12,2016318,121.50087728,25.26079776,74.207,2016.8688524590164,5.036417278461158,20.937022753059864,34.99999999999659
13,2016319,121.5008773,25.26079773,74.20100000000001,2016.8715846994535,7.063380267936736,17.621485982090235,29.000000000010573
14,2016320,121.50087731,25.26079771,74.207,2016.8743169398906,8.07893049204722,15.409875195473433,34.99999999999659
15,2016321,121.50087729,25.26079773,74.209,2016.877049180328,6.056097336113453,17.61772856116295,37.00000000000614
16,2016322,121.50087731,25.26079776,74.21300000000001,2016.879781420765,8.05826869327575,20.948295947164297,41.00000000001103
17,2016323,121.5008773,25.26079776,74.208,2016.8825136612022,7.050983200315386,20.944538060575724,36.000000000001364
18,2016324,121.50087728,25.26079777,74.199,2016.8852459016393,5.032284883782268,22.044706624001265,27.000000000001023
19,2016325,121.5008773,25.26079776,74.208,2016.8879781420765,7.050983200315386,20.944538060575724,36.000000000001364
20,2016326,121.50087726,25.26079779,74.2,2016.8907103825136,3.0094517278485,24.252560455352068,28.000000000005798
21,2016327,121.50087729,25.26079776,74.211,2016.8934426229507,6.043700268492103,20.94078017398715,39.00000000000148
22,2016328,121.50087727,25.26079775,74.211,2016.896174863388,4.033266683109105,19.825580529868603,39.00000000000148
23,2016329,121.50087727,25.26079776,74.207,2016.8989071038252,4.029134346637875,20.93326486647129,34.99999999999659
24,2016330,121.50087733,25.26079775,74.18,2016.9016393442623,10.076964390464127,19.848127849400043,8.000000000009777
25,2016331,121.5008773,25.26079775,74.203,2016.9043715846994,7.055115536786616,19.836854189634323,31.00000000000591
26,2016332,121.50087729,25.26079776,74.206,2016.9071038251366,6.043700268492103,20.94078017398715,34.000000000006025
27,2016333,121.50087731,25.26079775,74.209,2016.9098360655737,8.06240108795464,19.840612076222897,37.00000000000614
28,2016334,121.50087733,25.26079778,74.209,2016.9125683060108,10.064567322842777,23.171179927885532,37.00000000000614
29,2016335,121.50087729,25.26079775,74.212,2016.9153005464482,6.047832604963332,19.83309630304575,40.00000000000625
30,2016336,121.50087728,25.26079775,74.207,2016.9180327868853,5.040549673140049,19.829338882118464,34.99999999999659
31,2016337,121.50087731,25.26079775,74.20100000000001,2016.9207650273224,8.06240108795464,19.840612076222897,29.000000000010573
32,2016338,121.50087732,25.26079775,74.209,2016.9234972677596,9.069684019777924,19.844369497150183,37.00000000000614
33,2016339,121.50087731,25.26079777,74.2,2016.9262295081967,8.054136298596859,22.055979818105698,28.000000000005798
34,2016340,121.50087729,25.26079778,74.21,2016.9289617486338,6.035435479134321,23.156148847192526,37.9999999999967
35,2016341,121.50087731,25.26079779,74.2,2016.931693989071,8.0458716256544,24.271349422633648,28.000000000005798
36,2016342,121.50087727,25.26079775,74.215,2016.9344262295083,4.033266683109105,19.825580529868603,43.00000000000637
37,2016343,121.50087729,25.26079774,74.214,2016.9371584699454,6.051964941434562,18.72541243210435,42.00000000000159
38,2016344,121.50087731,25.26079774,74.203,2016.9398907103825,8.06653342442587,18.732928205281496,31.00000000000591
39,2016345,121.5008773,25.26079775,74.205,2016.9426229508197,7.055115536786616,19.836854189634323,33.00000000000125
40,2016346,121.50087732,25.26079777,74.21,2016.9453551912568,9.061419288627803,22.05973770469427,37.9999999999967
41,2016347,121.50087734,25.26079773,74.207,2016.948087431694,11.092514614574611,17.63651752844453,34.99999999999659
